5177	12	SP	agreement-corrected	IQ;Q2	clearly , you were waiting for someone else . supposed to meet somebody here ? yeah .	body	أحد	имaтe			nogen	jemanden		somebody	alguien	kellegagi	treffit	quelqu'un	למישהו	akciji	valaki	seseorang	qualcuno	誰 か	iemand	noen	umówiona	alguém	cineva		dobila	sastanete	nån	birini		约了
5225	0	DN	autoDN		nobody move !	body		hикoй	niko	nikdo	rør	keine	ακίνητοι	nobody	nadie	keegi	liikkumatta			makac	mozduljatok	jangan ada	nessuno	動	beweeg		ruszać	ninguém	nimeni	ни	ganite	niko	stilla	kimse kıpırdamasın	ai	许动
5235	9	DN	autoDN		but as i looked out over that city , nobody knew i was there , nobody could see me , no one was even looking . i had a thought that would guide me for years to come . anonymity , tony .	body	أحد	никой	niko			keiner	κανείς	nobody	nadie		kukaan	personne	איש	nitko	alattam	tak ada	nessuno	誰	niemand	ingen	zdałem	ninguém	nimeni	никто	nihče ni	niko	ingen	kimse	ai	夜空 没
5235	9	DN	autoDN		but as i looked out over that city , nobody knew i was there , nobody could see me , no one was even looking . i had a thought that would guide me for years to come . anonymity , tony .	body	باستطاعة	никой	niko		ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	personne	איש	niti		tak ada	nessuno	など	niemand	ingen	nikt	ninguém	nimeni	никто	nihče	niko	ingen		ai	没人
6507	0	DN	autoDN		nobody is going up there .	body	أحد	никой	nitko	neodletí	ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	décollage	אף	niko		ada	nessuno	誰	niemand	ingen		ninguém	nimeni	никто	nihče	niko	ingen		ai	
6581	1	DN	autoDN		but nobody is gon na hang us for treason . we do the hanging .	body	أحد	никой			ingen	niemand	κανείς	nobody	nadie	keegi	ei	personne	אף	niko	senki		nessuno		niemand	ingen	nikt	ninguém	nimeni	никто	nihče	niko	ingen	kimse	ai	但沒
6685	7	IN	error		you do n't have to apologize to anybody . including me .	body			nikome	nikomu	nogen	keinem	κανέναν	anybody	nadie	kellegi		t'excuser	אף אחד	nikome	kérned	siapapun	nessuno		niemand	alle	nikogo	ninguém	nimănui	кем	nikomur	никоме	nån		ai cả	任 何
6786	9	QU	agreement		how can we live like this ? how can anybody live like this ? it 's not living , but ... since the last games , something is different . i can see it .	body	لأي		iko	někdo	nogen	menschen	κανείς	anybody	cualquiera	keegi	kukaan		מישהו	itko	bárki	orang	tutti	耐え	iemand	noen		alguém	cineva	кто-то вообще	kdo	ико		yaşarız	người	
6868	10	SP	agreement		finnick ... i understand that you have a message for somebody out there . a special somebody .	body	لشخص	някого	nekoga	někoho		jemanden	στείλεις	somebody	alguien			quelqu'un	.למישהי	nekoga	valaki számára	seseorang	qualcuno	ＴＶ	iemand	noen	osobie	alguém	cineva		nekoga	некога	person		người	某 人说
6995	0	DN	autoDN		nobody else that i care about . peeta . it 's different for you . your family needs you .	body	احد	никой	-nikoga	nezbyl	ingen	niemanden	κανέναν	nobody	nadie	kedagi	ketään	personne	.אף	nikoga	senki	tak ada	nessun	しか	niemand	ingen	nikogo	ninguém	nimeni	никого		никога	ingen	verdiğim kimsem	ai	有其
6998	0	DN	autoDN		nobody needs me . i do . i need you .	body	احد	никой		nikdo	ingen	niemand	κανείς	nobody	nadie	keegi	kukaan	personne	.אף	nikome	senkinek	tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никому	nihče	никоме	ingen	kimsenin	ai	没
8161	8	DN	autoDN		i told you to get back . - nobody leaves . - hey , martinez , we got biters . all right , take them out .	body	أحد	никой	nitko	nikdo	ingen	niemand	κανείς	nobody	nadie	keegi	kukaan	personne	.אף-אחד	nitko	senki	tak ada	nessuno	誰	niemand		nikt	ninguém	nimeni	никто	nihče	ide		kimse	ai	没 有人
8395	25	DN	autoDN		the president will hold out as long as he can . but if they get his son ... if they hurt him ... well ... nobody could hold out under those circumstances . so , find connor get him the hell out of there . yes , sir .	body	أحد	никой	nitko	nikdo	ingen	niemand	κανείς	nobody	nadie	keegi	kukaan	n'importe	אף	nitko	senki	tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	ни станут	naredijo	nitko	ingen	kimse	ai	那情
8446	5	DN	autoDN		well , jesus christ , nobody ever thought to look for him inside the south korean government . look , i do n't care who he is . with a force that size i have men who can sweep 'em out in short order .	body	أحد		nitko	nikdo	ingen	keiner	κανείς	nobody	nadie	keegi	ei	personne	אף	nitko	senki		nessuno		niemand	ingen	nikt	ninguém	nimeni	никто		nitko	ingen	kimsenin		沒 有人
8755	16	NS	agreement		vadim . you let me know the second you find these guys . copy that . somebody please shut the alarm off !	body	أحدكم	някой	neko	někdo	nogen	jemand	κάποιος	somebody	¡alguien	lülitage	sammuttakaa	coupez-moi	שמישהו	netko	valaki			教え	iemand	siå	ktoś może	alguém	cineva	кто-нибудь	kdo	netko	nån	biri	ai	誰
8802	1	CD	agreement		if anybody comes in by air , they 're done .	body	أقترب	някой	lansiraju	někdo	nogen		όποιος	anybody	alguien	keegi	joku			tko	valaki	ada	chiunque	近付け	schieten		rozwalą	alguém	cineva	кто	kdo	doleti	nån		ai	任 何
8842	7	QU	agreement	Q2	- you all right ? you see anybody ? - no , we 're clear . kick it in . harder .	body	أحد؟	нещо	nekoga	někoho	nogen	jemand	καvέvαv	anybody	alguien	kedagi	ketään	quelqu'un	מישהו	koga	valakit	ada orang	qualcuno	誰	iemand	noen	ktoś	alguém	cineva	кого-нибудь	koga	koga	nån	kimseyi	ai	有人
8848	3	SP	agreement		- i got somebody . - you got somebody ? - yeah , yeah . - i need to get my shoes .	body	شخصاً	човек	nekoga	někoho	kender	wen	-eχω	somebody	alguien	kedagi	erään	quelqu'un	חבר	nekog	valakit	ada	chiamare		iemand	noen	pomysł	pessoa	cineva	кому	koga		nån	birini	có	以打 給誰
9196	5	DN	autoDN		we sealed it thoroughly . nobody 's getting in or out .	body	يدخل	никой	niko	nikdo	ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	personne	.אף	nitko		tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто	nihče	nitko	ingen		ngoại	没人
9417	18	QU	agreement		do you know anyone in los angeles ? no . any acquaintances ? okay . any companions ? anybody here who might be able to verify that you 're walter mitty ?	body		някой	koga		nogen	jemand		anybody	¿alguien	kedagi	kuka	quelqu'un	מישהו	itko	bárki	siapapun	qualcuno	誰	niemand	noen	kto	alguém	cineva	кто-то	koli	iko	nån	biri		有人
9542	0	DN	autoDN		nobody move !	body	أحد	никой	pomjerajte	nehne	bliver	keine	κουνηθεί	nobody		keegi	kukaan	personne	אף	nitko			nessuno	誰	beweeg	ingen	ruszać	ninguém	nimeni	никому	ganite	нико	ingen	kimse kımıldamasın	ai	许动
9666	0	DN	autoDN		nobody that believed me , except for eric sacks .	body	أحد	никой	niko	nikdo	ingen	keinem	κανείς	nobody	nadie	kellelegi	kukaan	personne	אף	nitko	senki	tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто		нико	ingen	kimse	ai	没
11440	1	QU	agreement		would anybody like to speak up ?	body	أحد	някой	neko	někdo	nogen	jemand	κάποιος	anybody	¿alguien	kellelgi	haluaisiko joku		מישהו		valaki	ada	qualcuno	意見	iemand	noen	ktoś	alguém	cineva	возражения	kdo		någon	i̇tiraz	ai	有人 有异
11927	9	DN	autoDN		he does n't know . how could he ? nobody 's seen what the capitol did to 12. i have to show them .	body	فلم	никой	niko	nikdo	ingen	keiner	κανένας	nobody	nadie	keegi	kukaan	nul	איש	nitko	senki	tak seorangpun	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто	nihče	niko	ingen	kimse	ai	没 有人
11932	6	DN	autoDN		the screens just went dark . nobody had any idea what happened .	body	أحداً	нямахме	niko	nikdo	ingen	keiner	κανείς	nobody	nadie	kellelgi		ignorait	ידע	nitko		tak seorangpun	nessuno		wisten	ingen	nikt	ninguém	nimeni	никто	nihče ni	niko	ingen	kimse	ai	没
12239	19	QU	agreement	Q2	double agents are such bastards . isolated loners . no attachments to friends or family . arrogant . know anybody like that ?	body	المواصفات؟	някой	nekog	někoho		jemand	κανέναν	anybody	alguien	kedagi	ketään	quelqu'un	מישהו	nekog	embert	siapa	qualcuno		iemand	noen	kogoś	alguém	pe	никого	koga	nekog	någon	birini	ai	
12332	1	CD	agreement		if anybody finds out about them , prison will be the least of her worries .	body		някой	iko	někdo	nogen	jemand	κάποιος	anybody	alguien	keegi		quelqu'un	מישהו	itko	valaki	ada	qualcuno	書類	iemand	noen	ktoś	alguém		кто-нибудь	kdo	iko	någon	birisi	ai	有人
12339	19	DN	autoDN		every day we decided who lived and who died . every day we helped the allies to victories and nobody knew .	body	أحد	никой	niko	nikdo	ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	personne	ידע	nitko	senki	tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто	nihče ni	niko	ingen	kimse	ai	但沒 有人
718	6	NS	error		- you still here ? - somebody 's got ta watch your back . not now , i 'm a little busy .	body		някой	netko	někdo	nogen	irgendjemand	κάποιος	somebody	alguien	keegi	jonkun	quelqu'un	.מישהו	-netko	valakinek vigyáznia	ada	qualcuno	か	iemand	noen	ktoś	alguém	cineva	кто-то	-nekdo	neko	någon	birinin		总得 有人
12573	2	QU	agreement		- can anybody hear me ? - werner .	body	أحد؟		itko	slyší	nogen		κανείς	anybody	¿alguien	keegi	kuuleeko kukaan		‫מישהו	itko	valaki	ada			iemand	noen	powtarzam	-alguém	aude cineva	кто-нибудь	kdo	čuje	nån	duyan	ai	有人
14113	31	FC	agreement		yeah , you put us in this situation and it is almost kind of a cosmic justice for it to be you , but ... we would have done this to anybody .	body	أحد	всеки	svakome	komukoliv	alle	jedem	οποιοδήποτε	anybody	cualquiera	kellele	kaikille	n'importe	לאף אחד	svakome	bárki mással	siapa pun	chiunque	遭わ	iedereen	alle	każdym	qualquer	oricui	любым	komur koli	коме	helst	yapardık		样做
14238	5	IN	agreement		i did n't know if anybody was left .	body	أكُن	някой	uopšte	někdo	der	übriggeblieben	κανένας	anybody	quedaba gente	kedagi	ainuttakaan		מישהו	itko	maradtak-e	ada seseorang	fossero	居	iemand	eksisterte	ktoś	alguém	cineva	вообще кто-нибудь	kdo	neko	någon	midir	ai	有其 他人
14558	2	NS	disagreement		one day somebody does something unspeakable to someone else to ... someone you hardly knew , and you ... do something about it because you can .	body	أحدهم	някой	neko	někdo	nogen	irgendjemand	κάποιος	somebody	alguien		joku	quelqu'un	מישהו	netko	valaki	seseorang	qualcuno		iemand	noen	ktoś	alguém	cineva		nekdo	neko	någon	birileri	ai	有人
14638	11	DN	agreement		ralphie . get everybody out of here . do n't leave anybody behind .	body		никого	nikoga	nikoho	alle	niemanden	κανέναν	anybody	nadie	kedagi	ketään	personne	אף אחד	nikoga	senkit	siapa	nessuno		niemand	etterlatt	nikogo	ninguém	nimeni	никого	nikogar	ostao	alla	kimseyi	ai	别留
14644	5	DN	agreement		you said not to leave anybody behind .	body	أحد	никого	nikoga	nikoho	alle		κανέναν	anybody		kedagi	ketään	d'oublier personne	אף אחד	nikoga	senkit	siapa	nessuno	誰	niemand	etterlatt	pozostawić nikogo	ninguém	nimeni	велели никого	nikogar	nikog	alla		ai	下任 何
5241	32	SP	agreement		once we get the iron patriot installed , it 'll take me 9 to 10 minutes for a take down . that 's great . the last time i looked there was somebody inside of it .	body	شخص	чoвeк	neko	neotevřeli	nogen	jemand	κάποιος	somebody	alguien	keegi	joku	quelqu'un	מישהו	netko	valaki	orang	qualcuno	人	iemand	noen	zajęty	alguém	cineva	кто-то	nekdo	neko		biri	người	有人
14816	6	SP	agreement	IQ	do you think there 's still somebody out there ?	body	باعتقادك؟	някой	nekoga		nogen	jemand	κανείς	somebody	¿haya alguien	keegi	ketään	gens	מישהו	nekoga		seseorang	qualcuno	誰 か	iemand	noen	ktoś	alguém	cineva	кто-то	kdo	neko	nån		ai	有人
14944	4	SP	agreement		you hear that ? somebody 's here .	body	شخص	някой	neko		der	jemand	κάποιος	somebody	alguien	keegi	joku	quelqu'un		netko	valaki	ada	qualcuno	誰 か	iemand	noen	ktoś	alguém	cineva	то-то	nekdo	neko	nån	biri	có ai đố	有人
15169	4	QU	agreement		everybody , okay ? anybody hurt ? no .	body	الجميع.بخير		neko		nogen	jemand		anybody	¿hay alguien	keegi	kukaan	blessés	מישהו	netko	valaki	ada	qualcuno	怪我	iemand	noen	ktoś	-há alguém	cineva	никто	kdo	neko	nån	yaralanan	ai	
15347	2	QU	agreement		- did anybody see who killed the cop ? - witness could n't identify the shooter . conlon and the son were both seen pulling their weapons .	body	أحد	някой	neko			jemand	καvείς	anybody	¿alguien	keegi	näkikö kukaan	sait	מישהו	netko	bárki	seseorang	qualcuno	殺し	iemand	noen	ktoś	alguém	cineva	кто-нибудь	kdo	neko	någon	gören	ai	有人
15387	9	DN	autoDN	PRED	who 's that man , daddy ? it 's nobody , honey . let 's get in the car .	body		никой	niko		nogen	niemand	καvέις	nobody	nadie	keegi	kukaan	personne	.אף	nitko	senki	asing	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто	nihče	niko	ingen	kimse	ai	路人
15769	20	DN	autoDN		it was like striking oil in a world that had n't invented internal combustion . too much raw material . nobody knew what to do with it .	body	أحد	никой	niko		ingen	niemand	κανείς	nobody	nadie		kukaan			nitko	senki	tak ada	nessuno	誰	kon	ingen	nikt	ninguém		никто	nihče ni	niko	ingen	kimse	ai	没
17684	5	SP	agreement		something wrong ? i asked somebody to do something . they did n't do it .	body	امرؤ	някого	nekoga		en	jemanden	κάποιον	somebody	alguien	kellelgi	palvelusta eräältä	quelqu'un	ממישהו	nekoga		seseorang	qualcuno		iemand	noen	kogoś	pessoa	cuiva	кое-кого	-nekoga	некога	nån		người	
16277	3	SP	disagreement		i 'd say somebody found his moxie .	body	أحدهم	някой	neko	někdo	en	jemand	κάποιος	somebody	alguien	keegi	joku	qui	שמישהו	netko	valakinek	seseorang	qualcuno	誰 か	iemand	noen	ktoś	alguém	cineva	кому-то	nekdo	neko	nån	biri	có người	有人
16379	11	NS	agreement		ok , how about love ? - ok. stability , just somebody you can count on ... - how many stable marriages do you know ?	body	شخص	някой	netko	někdo	en	jemand	κάποιος	somebody	alguien	keegi		qu'on	מישהו	netko	valaki	seseorang	qualcuno	人	iemand	noen	ktoś	alguém	cineva	кого		neko	någon	birinin	ai	
16492	14	SP	agreement		hey , honey , who 's at the door ? - it was just somebody who was lost .	body	.مجرّد	някой	netko	zabloudil	en	jemand	κάποιος	somebody	alguien	keegi	joku	quelqu'un	מישהו שהלך	netko	valaki	seseorang	qualcuno	誰	iemand	-noen	ktoś	alguém	cineva	кто-то ошибся	-nekdo	neko	någon		ai	有人 来问路
15701	21	FC	agreement		i could n't open the door to my bedroom . that 's a security measure . automatic lock-down . otherwise , anybody could just open the place up by disabling the juice .	body	أحد	всеки	svako		alle		οποιοσδήποτε	anybody	cualquiera		kuka	n'importe	אחד	svatko	bárki	siapa pun	chiunque	誰	iedereen	helst	każdy	qualquer	oricine	кто	kompleks	neko	helst	birileri		任 何
22084	3	QU	agreement		did i hurt anybody ? there 's nobody around here to get hurt .	body	أحد؟	някого	nekog		nogen	jemanden	καvέvαv	anybody		kellelegi	ketään	quelqu'un		koga	valakit	seseorang	qualcuno	誰	slachtoffers	noen	ktoś ucierpiał	alguém	cineva	кого-то		nekog	nån		ai	人能让 你伤
17656	18	DN	autoDN		you killed that man . you do n't have to do this . yes , i do . nobody can know my secret . [ bone cracks ]	body		никой	nitko		ingen	niemand	κανείς	nobody	nadie	keegi	kukaan	personne	שאיש	nitko	senki		nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто		нико	ingen	kimse	ai	
8677	44	DN	agreement		there 's a ladies ' room downstairs . - where ? i 'll take her . - i can go by myself , john . i 'm not a child . hey , just do n't touch anything or wander off or talk to anybody that you should n't be talking to .	body	أحد	непознати	razgovaraš	nikým	nogen	leuten		anybody	nadie	võõrastega	kenellekään		לכל	smiješ	olyannal	orang		たり	iemand	noen	gadaj	ninguém		кем	nikomer	kim	nån	kimseyle	người lạ	人說
17932	6	DN	autoDN		my father once told me -- nobody cares what your father once told you .	body	أحد	никой	-nikoga			niemanden	κανέναν	nobody	nadie	kedagi	kukaan		לאף	nikoga	senkit	tak ada	nessuno	など	niemand	ingen	nikogo	ninguém	nimeni	никому	–nikogar	nikoga	ingen	kimsenin	chả ai	没人
18083	0	NS	agreement		somebody 's got ta tell him .	body	يتحتم	някой	neko	někdo	nogen	jemand	κάποιος	somebody	alguien	keegi	jonkun	quelqu'un	.מישהו	netko	valakinek	seseorang	qualcuno	教え	iemand	noen	ktoś	alguém	cineva	кто-то	nekdo	неко	nån			
18085	0	DN	autoDN		nobody wants to be alone . except maybe you . i 'm not alone . i have friends , remember ?	body	أحد	никой	niko	nikdo	ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	personne	.אף	nitko	senki	tak seorangpun	nessuno	ひとり	niemand	ingen	nikt	ninguém	nimeni	никто	nihče	нико	ingen	kimse		
18285	6	NS	agreement		okay . are you okay ? somebody call 911 ! i 'm okay . nothing to see . got to go ! hey !	body	أحدكم		-zovite	někdo		brauchen	κάποιος	somebody	-¿se	helistage	-soittakaa		מישהו	-zovite	-hívják	seseorang	chiamate	か	-bel	noen	wezwijcie	alguém	cineva	вызовите	-pokličite	-зовите	nån	biri		找人
18337	11	DN	autoDN		close it up . all right . lock it up . nobody gets through to the commonwealth building . nobody ! ( grunting )	body	أحد	никой		nikdo	ingen	keiner	κανείς	nobody	nadie	keegi	kukaan	personne	אף	nitko		sesiapa	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никого	nihče	нико	ingen	kimse	ai	没
18553	0	NS	agreement		somebody has got ta have some answers around here .	body	أحدهم	някой	netko	někdo	nogen	jemand	κάποιος	somebody	alguien	kellelgi	jonkun	quelqu'un	.למישהו	netko	valaki	seseorang			iemand	noen	ktoś	alguém	cineva	кто-то	nekdo	neko	nån	birinin	ai	有人
25477	11	SP	agreement		can you see me ? no , but i can tell somebody 's there .	body	شخص		nekoga	někdo	skimte	jemand	διακρίνω	somebody	alguien	keegi	joku	sentir	מישהו	nekoga	valaki	ada seseorang	qualcuno	誰 か		noe	ktoś	alguém	cineva	кто-то	nekdo	nekoga	nån		ai	有人
19405	13	DN	agreement		we 've been together since before africa . i wo n't fight with anybody else . me , neither .	body		отишъл	nekim	nešel		keinem	κανέναν	anybody	nadie	kellegi	kenenkään	qu'avec	אף אחד	z	harcolnék	orang			iemand	noen	nikim	ninguém	nimeni		nikomer	kim	nån	kimsenin	ai	想和别
20314	16	DN	autoDN		- you were on watch on the landing , huh ? - yeah . ca n't nobody get in or out of their room in that corridor without me seeing . okay , rachel solando , who else does she have to pass to get down here ?	body	أحد	никой	uđe	nemohl	ingen		κανείς	nobody	nadie	keegi	kukaan	nul		nitko	senki	ada	nessuno		niemand kon	lngen	nikt	ninguém	nimeni	никто	nihče	niko	ingen	kimse	ai	走廊
20849	3	NS	agreement		kill him ! somebody kill him !	body	اقتلوه،	някой	neko				κάποιος	somebody	¡alguien	keegi	joku	quelqu'un	שמישהו	netko	valaki	siapapun	qualcuno	誰 か	iemand	annen		none	cineva	кто-нибудь		netko	nån	birisi	bay	谁来
21225	19	DN	autoDN		– well , as much as we 'd all enjoy seeing ' somethin ' like that , ai n't nobody gon na cheat the hangman in my town .	body		никой	niko		ingen	keiner	κανείς	nobody	nadie	kellelgi	ketään	personne	אף	nitko	senki	tak	nessuno		niemand	ingen	nikt	ninguém	nimeni	никто		niko	ingen		ai	谁也
21333	16	DN	agreement		why you care if i find my wife ? – frankly ... i 've never given anybody their freedom before . and now that i have , i feel vaguely responsible for you .	body	أحد	някому	nikome		nogen	jemanden		anybody	nadie	kellelegi	ketään	quelqu'un		nikome	senki		nessuno	と―	vrijlaat	noen	nikomu	ninguém	nimănui	даровал	nikomur		nån	kimseye	ai	何
21407	20	NS	agreement		hoot ! git back upon your horse . hoot : he broke my collarbone ! – for god sake , somebody please help hoot here back up on his goddamn horse .	body	أحدكم	някой	neko		nogen	kann	κάποιος	somebody	alguien	keegi	auttakaa	qu'on	שמישהו	netko	valaki	seseorang	qualcuno	誰 か	iemand		może	alguém	ajute cineva	кто-нибудь		neko		biri	ai	
21467	34	DN	autoDN		– dr. schultz , i will have you know , there is no one in the nigger fight game that appreciates the value of showmanship more than monsieur calvin j. candie . steven : nobody . – but one must not forget the most important thing in the nigger fight game . and that is a nigger that can win fights .	body	أحد		niko		ingen	niemand	κανείς	nobody	nadie	keegi	ketään	personne	אף	nikoga	senki	tak	nessuno	誰	niemand		nikt	ninguém	nimeni	никого	ni	niko		kimse	ai	没人
21719	2	SP	agreement		well , somebody got hold of the phone and apparently as a joke , personalised their text alert noise .	body	شخص	някой	neko		nogen	jemand	κάποιος	somebody	alguien	keegi	joku	quelqu'un	מישהו	netko	valaki	ada	qualcuno	誰 か	iemand	noen	ktoś	alguém	cineva	кто-то	-nekdo	neko	nån	biri	ai	有人
22084	7	DN	autoDN		did i hurt anybody ? there 's nobody around here to get hurt .	body	أحد		nikoga		ingen	breit	καvείς	nobody	nadie	kedagi	ketään	personne	אף	nikoga	senki		nessuno		-wie	ingen	nikogo	ninguém	nimeni	некого	nikogar	nikoga		kimse	ai	没
22106	7	DN	autoDN		what just happened ? please tell me nobody kissed me .	body	أحد	никой	niko		ingen	bloß	καvείς	nobody	nadie	keegi	kukaan	qu'aucun	.שאף	nitko		tak ada	nessuno	誰	niemand	ingen	nikt	ninguém	nimeni	никто	ni nihče	niko				有人
22274	2	QU	agreement		anyone ? anybody ?	body	كان؟	някой	iko	někdo	nogen	irgendjemand	κανείς	anybody		ükskõik		n'importe	מישהו		bárki	siapapun	nessuno		iemand	helst	kto	alguém	recepţionează cineva	кто-то	kdorkoli	ико	helst	duyan	ai	
22374	2	NS	agreement		i need somebody strong .	body	لرجل	някой	neko	někoho	en	jemanden	έναν	somebody	alguien	kedagi	jonkun	type	מישהו	nekog	erősebb	orang	qualcuno	タフ		en	ktoś	alguém	om	крепкий	močnega	neko	nån	biri	người khoẻ	強壯
22437	1	CD	agreement		if anybody does n't like it , if anybody wants off , if anybody does n't like this route between salalah , djibouti and mombasa , come to my office and sign the paperwork per the union , and you 'll be on the first flight home out of mombasa .	body	أحد	някого	nekome	někomu	nogen			anybody	alguien	kellelegi	joku	débarquer	מישהו	komu	valakinek	ada	qualcuno	下船	iemand	noen	ktoś	alguém	coboare	кто-то	kdo	nekome	nån	isteyen	ai	有人
22437	1	CD	agreement		if anybody does n't like it , if anybody wants off , if anybody does n't like this route between salalah , djibouti and mombasa , come to my office and sign the paperwork per the union , and you 'll be on the first flight home out of mombasa .	body	أحد		neko	někdo		bord		anybody	bajar	kellelegi	joku	débarquer	מישהו	iskrcati	valaki	ada	qualcuno		aanstaat	noen	ktoś	alguém	coboare	кому-то	kdo		nån	isteyen	ai	有人
22455	4	UF	corrected	IQ;PRED	you think you 're somebody ?	body	نفسك؟	важен	neko	někdo	noget	besonderes	κάποιος	somebody	alguien	keegi	joku	qui	מישהו	netko	pótolhatatlan	siapa	qualcuno	臆病	iemand	noe	ważny	alguém	cineva	возомнил	koga		nåt	halt	giỏi	個人
